,Муниципалитет,округ,ФИО,,
Адмиралтейский,№21,57,Антонюк Валентин Сергеевич,,
,№21,59,Сергеенков Олег Георгиевич,,
,№21,59,Марченкова Галина Николаевна,,
,№21,59,Симоненкова Галина Юрьевна ,,
,№54,163,Шипилин Андрей Андреевич,ГП,
,№54,164,Ильина Марина Владимировна,СР,
Адмиралтейский,№54,164,Кошелев Алексей Алексеевич,СР,
Адмиралтейский,№54,164,Левченко Виктория Владимировна,СР,
,№54,164,Самсыгин Роман Евгеньевич,СР,
,№54,164,Старовойтов Виталий Игоревич,СР,
Адмиралтейский,№54,165,Иванов Павел Алексеевич,ГП,
,№54,165,Федоров Валерий Алексеевич,ГП,
,№54,165,Сумин Антон Владимирович,ГП,
,№54,165,Яковлев Дмитрий Анатольевич,ГП,
,№54,165,Веденеев Павел Алексеевич,СР,
,№54,165,Петухов Михаил Иванович,СР,
,№54,165,Подобаева Ольга Георгиевна,СР,
,№54,165,Трошин Сергей Александрович,СР,
,№65,190,Краснова Лариса Евгеньевна,,
,№65,190,Рыжова Анна Валерьевна,,
Василеостровский,№65,191,Козырева Галина Дмитриевна,???,Отказ в регистрации
,№65,191,Крутоголов Владимир Александрович,,
,№65,192,Дегтярева Надежда Ивановна,,
,№65,193,Римская Нина Афанасьевна,,
,№65,193,Рязанцева Ирина Викторовна,,
,№65,193,Шептенко Станислав Кириллович,,
Василеостровский,№65,194,Соколов Алексей Александрович,,
,№65,194,Дзюба Игорь Николаевич,,
,№7,14,Вавилина Нэлли Юрьевна,,
,№72,212,Капустин Денис Львович,СР,
,№72,212,Михайлов Николай Владимирович,СР,
,№72,213,Чумаков Даниил Игоревич,ГП,
,№72,213,Орлов Владислав Константинович,ГП,
Калининский,№72,213,Малышева Юлия Сергеевна,ГП,
Калининский,№72,213,Варламова Ирина Михайловна,СР,
Калининский,№72,213,Евдокимов Олег Николаевич,???,нет в списке
Калининский,№72,214,Бобкина Наталья Николаевна,ГП,
,№72,214,Волохонский Владимир Львович,ГП,
,№72,214,Кузин Сергей Владимирович,ГП,
Калининский,№72,214,Мамаев Вадим Сергеевич,ГП,
Кировский,№72,214,Харитонов Дмитрий Валерьевич,СР,
,№72,214,Устинович Антон Вячеславович,СР,
,№72,215,Орлов Аркадий Николаевич,ГП,
,№72,215,Федоренко Иван Николаевич,ГП,
,№72,215,Иванов Вячеслав Михайлович,СР,
,№75,224,Кузнецова Маритана Валентиновна,,
,№75,224,Морозов Павел Сергеевич,,
,№75,224,Соболев Сергей Юрьевич,,
,№75,224,Березин Алексей Осипович,,
Кировский,№75,225,Смирнов Вадим Валерьевич,,
,№75,225,Антипов Олег Ростиславович,,
,№75,225,Перевозников Евгений Ильич,,
,№75,225,Белов Максим Петрович,,
,№75,225,Швец Павел Евгеньевич,,
Кировский,№78,232,Коротенко Станислав Игоревич,,
,№78,232,Христенко Сергей Витальевич,,
,№78,232,Малолеткин Валерий Анатольевич,,
,Александровская,1,Савкин Роман Александрович,,
,Александровская,1,Солодов Павел Александрович,,
,Александровская,1,Нелидова Анастасия Андреевна,,
,Александровская,1,Плотников Олег Владимирович,,
,Аптекарский остров,184,Скупченко Владимир Викторович,,
,Балканский,226,Коновалов Дмитрий Сергеевич,,
,Балканский,226,Омелин Анатолий Павлович,,
,Балканский,227,Маслова Анастасия Евгеньевна,,
,Балканский,227,Свентик Дмитрий Петрович,???,Отказ в регистрации
Колпинский,Балканский,227,Белякова Кира Анатольевна,,
,Балканский,229,Вышегородцев Борис Валерьевич,,
,Балканский,229,Цивелев Андрей Евгеньевич,,
,Большая Охта,3,Белькевич Лидия Юрьевна,,
,Большая Охта,4,Мироненко Татьяна Игоревна,,
Красногвардейский,Большая Охта,5,Рухлин Константин Владимирович,,
,Большая Охта,6,Семенов Алексей Юрьевич,,
Красногвардейский,Большая Охта,8,Вялов Андрей Владимирович,,
,Большая Охта,9,Петрецкая Мария Михайловна,,
Красносельский,Большая Охта,10,Столяров Павел Валентинович,ГП,
,Большая Охта,10,Савельева Яна Владимировна,СР,
,Васильевский,15,Алексюк Дмитрий Сергеевич,,
,Васильевский,15,Вавилина Нэлли Юрьевна,,
Красносельский,Васильевский,15,Вишнев Аркадий Германович,,
,Васильевский,15,Денисов Всеволод Владимирович,,
,Васильевский,16,Касаткин Алексей Викторович,ГП,
Красносельский,Васильевский,16,Быстров Денис Витальевич,ГП,
Красносельский,Васильевский,16,Привезенцева Юлия Львовна,ГП,
,Васильевский,16,Фассахов Владислав Рифкатович,ГП,
,Васильевский,16,Шевченко Василий Георгиевич,ГП,
Красносельский,Васильевский,16,Кокарев Владимир Николаевич,СР,
,Васильевский,16,Назаров Валентин Андреевич,СР,
Красносельский,Васильевский,16,Сартаков Руслан Сергеевич,СР,
,Владимирский,244,Афанасьева Юлия Андреевна,,
Курортный,Владимирский,244,Бровкин Виталий Владимирович,,
Московский,Владимирский,244,Смирнов Дмитрий Валерьевич,,
,Владимирский,245,Корниченко Александр Александрович,,
Московский,Владимирский,245,Христенко Сергей Витальевич,,
,Владимирский,245,Карпов Александр Александрович,,
,Владимирский,245,Малышев Руслан Васильевич,,
,Владимирский,246,Песецкая Дарья Игоревна,,
,Владимирский,246,Смирнов Сергей Александрович,,
,Владимирский,247,Коротенко Станислав Игоревич,,
,Владимирский,247,Нестеров Евгений Юрьевич,,
,Волковское,208,Суздальцев Александр Геннадьевич,,
,Волковское,209,Васильева Ирина Владимировна,,
,Волковское,209,Суздальцев Юрий Александрович,,
,Волковское,210,Мамаев Вадим Сергеевич,,
,Волковское,211,Легков Владимир Валерьевич,,
,Волковское,211,Цапарин Евгений Борисович,,
,Гавань,17,Вавилина Нэлли Юрьевна,,
,Гавань,17,Иванов Сергей Михайлович,,
,Гавань,17,Коробицын Петр Алексеевич,,
,Гавань,18,Касаткин Алексей Викторович,,
Невский,Гавань,18,Башков Руслан Владиславович,,
Невский,Гавань,18,Ветохина Мария Геннадьевна,,
,Гавань,18,Коновалов Илья Сергеевич,,
,Гавань,18,Назаров Валентин Андреевич,,
,Гагаринское,1,Распутин Сергей Владимирович,СР,
,Гагаринское,1,Ляхов Михаил Павлович,СР,
Невский,Гагаринское,1,Пушкарева Людмила Васильевна,СР,
,Гагаринское,1,Ермилов Вадим Юрьевич,СР,
,Гагаринское,1,Смирнов Михаил Яковлевич,СР,
Невский,Гагаринское,1,Барсукова Алла Кимовна,ГП,
,Гагаринское,1,Канюков Анатолий Николаевич,ГП,
Петродворцовый,Гагаринское,1,Натяг Надежда Андреевна,ГП,
Приморский,Гагаринское,1,Саполнов Роман Павлович,ГП,
,Гагаринское,2,Каплюк Владимир Владимирович,СР,
Фрунзенский,Гагаринское,2,Карташова Нина Борисовна,СР,
,Гагаринское,2,Пушкарев Михаил Алексеевич,СР,
,Гагаринское,2,Дубинина Ирина Владимировна,СР,
,Гагаринское,2,Черенкова Любовь Александровна,СР,
,Гагаринское,2,Карпов Константин Сергеевич,ГП,
,Гагаринское,2,Козарь Екатерина Владимировна,ГП,
,Гагаринское,2,Цветков Алексей Викторович,ГП,
,Гагаринское,2,Голосай Мария Владимировна,ГП,
,Гагаринское,2,Алексеенков Дмитрий Петрович,ГП,
,Гагаринское,3,Кондраткова Татьяна Алексеевна,ГП,
,Гагаринское,3,Скоркин Андрей Валерьевич,ГП,
Центральный,Гагаринское,3,Шварц Людмила Григорьевна,ГП,
,Гагаринское,3,Зайсаев Самбу Николаевич,СР,
4-2,Гагаринское,3,Зыков Валерий Вадимович,СР,
5-7,Гагаринское,3,Евсеева Анна Анатольевна,СР,
,Гагаринское,3,Алексеев Алексей Викторович,СР,
,Гагаринское,3,Михалева Анна Михайловна,СР,
,Гагаринское,4,Ширявцев Андрей Олегович,СР,
,Гагаринское,4,Шестерень Алексей Николаевич,СР,
,Гагаринское,4,Соколов Валентин Владимирович,СР,
,Гагаринское,4,Дюба Константин Олегович,СР,
,Гагаринское,4,Дашимолонов Чингис Викторович,СР,
,Гагаринское,4,Асатуров Леонид Артурович,ГП,
,Гагаринское,4,Ковалишина Валерия Сергеевна,ГП,
,Гагаринское,4,Путинцева Ирина Владимировна,ГП,
,Гагаринское,4,Рыбин Сергей Семенович,ГП,
,Гагаринское,4,Шипулин Михаил Иванович,ГП,
,Георгиевский,220,Плотников Алексей Иванович,,
,Георгиевский,221,Плотников Михаил Иванович,,
,Георгиевский,222,Баляницына Людмила Николаевна,,
,Георгиевский,222,Маслова Анастасия Евгеньевна,,
,Георгиевский,223,Кравчук Татьяна Валерьевна,???,Отказ в регистрации
,Горелово,2,Артюшина Екатерина Александровна,,
,Горелово,2,Петрова Лариса Федоровна,,
,Горелово,2,Кирпичева Людмила Константиновна,,
,Горелово,2,Левашов Александр Юрьевич,,
,Горелово,2,Песецкая Дарья Игоревна,,
,Гражданка,47,Снисаренко Анатолий Николаевич,,
,Гражданка,48,Дементьев Владимир Борисович,,
,Дачное,80,Веремейчик Валерий Павлович,,
,Дворцовый,230,Каштанова Янина Павловна,,
,Дворцовый,230,Котегов Владимир Кимович,,
,Дворцовый,230,Просторова Александра Олеговна,,
,Дворцовый,230,Сидоренко Евгений Петрович,,
,Дворцовый,230,Смолий Геннадий Иванович,,
,Дворцовый,231,Кошелев Леонид Эростович,,
,Дворцовый,231,Кривободров Владимир Сергеевич,,
,Дворцовый,231,Парфентьева Татьяна Юрьевна,,
,Дворцовый,231,Пищугин Сергей Александрович,,
,Дворцовый,231,Протченко Евгений Анатольевич,,
,Екатерингофский,11,Алимова Юлия Леонидовна,,
,Екатерингофский,11,Вигандт Александр Олегович,,
,Екатерингофский,11,Горожанко Федор Константинович,,
,Екатерингофский,11,Костылева Полина Владимировна,,
,Екатерингофский,11,Минаков Александр Сергеевич,,
,Екатерингофский,12,Алимова Екатерина Леонидовна,,
,Екатерингофский,12,Гаринова Карина Алексеевна,,
,Екатерингофский,12,Рабош Габриэль Владимирович,,
,Екатерингофский,12,Телитченко Павел Алексеевич,,
,Екатерингофский,12,Шуршев Александр Олегович,,
,Звездное,1,Акопов Давид Владимирович,,
,Звездное,1,Дульщиков Владимир Анатольевич,,
,Звездное,1,Зуева Марина Николаевна,,
,Звездное,1,Логинов Роман Викторович,,
,Звездное,1,Прокопенко Виктория Павловна,,
,Звездное,2,Берденников Андрей Сергеевич,,
,Звездное,2,Ефремкин Артем Васильевич,,
,Звездное,4,Марин Геннадий Яковлевич,,
,Ивановский,152,Бережных Юрий Геннадьевич,,
,Ивановский,152,Макаров Андрей Валерьевич,,
,Ивановский,152,Фрунзе Валерий Иванович,,
,Ивановский,152,Васильев Дмитрий Николаевич,,
,Ивановский,153,Шатков Николай Валентинович,,
,Ивановский,153,Прокофьев Алексей Вячеславович,,
,Ивановский,153,Минасян Сергей Степанович,,
,Ивановский,153,Тимофеев Михаил Алексеевич,,
,Ивановский,153,Рудниченко Никита Сергеевич,,
,Измайловское,9,Селихов Антон Эдуардович,,
,Измайловское,9,Яворович Глеб Игоревич,,
,Измайловское,9,Дорогавцева Ольга Анатольевна,,
,Измайловское,10,Молчанов Константин Константинович,,
,Княжево,2,Констанденкова Кристина Михайловна,,
,Княжево,2,Дмитриев Лев Михайлович,,
,Коломна,1,Дубровский Николай Андреевич,,
,Коломна,1,Негодина Галина Владимировна,,
