,Муниципалитет,округ,ФИО,,
Адмиралтейский,№21,57,Антонюк Валентин Сергеевич,,
,№21,57,Сергеева Елена Андреевна,,
,№21,57,Окунев Андрей Васильевич,суд,
,№21,57,Прохорович Олег Михайлович,,
,№21,58,Потанин Юрий Викторович,,
,№21,58,Тихомирова Светлана Александровна,,
,№21,59,Сергеенков Олег Георгиевич,,
,№21,59,Марченкова Галина Николаевна,,
,№21,59,Симоненкова Галина Юрьевна ,,
,№21,59,Козлов Анатолий Сергеевич,,
,№21,59,Новиков Антон Геннадьевич,,
,№21,60,Саушкин Владимир Алексеевич,,
,№21,60,Уткин Сергей Николаевич,,
,№54,162,Дорофеева Марина Михайловна,,
,№54,162,Иванов Павел Валериевич,,
,№54,162,Садыгов Шалы Шахалы Оглы,,
,№54,162,Гурин Николай Николаевич,,
,№54,162,Макаров Игорь Иванович,,
,№54,163,Шипилин Андрей Андреевич,ГП,
,№54,163,Дашкова Екатерина Игоревна,,
,№54,163,Давыдов Виталий Валерьевич,,
,№54,163,Кудряшев Алексей Николаевич,,
,№54,163,Золотов Александр Николаевич,,
,№54,164,Ильина Марина Владимировна,СР,
Адмиралтейский,№54,164,Кошелев Алексей Алексеевич,СР,
Адмиралтейский,№54,164,Левченко Виктория Владимировна,СР,
,№54,164,Самсыгин Роман Евгеньевич,СР,
,№54,164,Старовойтов Виталий Игоревич,СР,
Адмиралтейский,№54,165,Иванов Павел Алексеевич,ГП,
,№54,165,Федоров Валерий Алексеевич,ГП,
,№54,165,Сумин Антон Владимирович,ГП,
,№54,165,Яковлев Дмитрий Анатольевич,ГП,
,№54,165,Веденеев Павел Алексеевич,СР,
,№54,165,Петухов Михаил Иванович,СР,
,№54,165,Подобаева Ольга Георгиевна,СР,
,№54,165,Трошин Сергей Александрович,СР,
,№65,190,Краснова Лариса Евгеньевна,,
,№65,190,Рыжова Анна Валерьевна,,
,№65,190,Кучеров Андрей Александрович,,
,№65,190,Матус Владимир Юрьевич,,
Василеостровский,№65,191,Козырева Галина Дмитриевна,???,Отказ в регистрации
,№65,191,Крутоголов Владимир Александрович,,
,№65,191,Белов Владимир Александрович,,
,№65,191,Кузнецов Александр Анатольевич,,
,№65,192,Дегтярева Надежда Ивановна,,
,№65,192,Заварзина Елена Александровна,,
,№65,192,Мельничук Александр Сергеевич,,
,№65,193,Римская Нина Афанасьевна,,
,№65,193,Рязанцева Ирина Викторовна,,
,№65,193,Шептенко Станислав Кириллович,,
,№65,193,Финансов Андрей Петрович,,
Василеостровский,№65,194,Соколов Алексей Александрович,,
,№65,194,Дзюба Игорь Николаевич,,
,№65,194,Белов Артур Владимирович,,
,№65,194,Демьянов Дмитрий Евгеньевич,,
,№7,13,Комлев Алексей Владимирович,,
,№7,13,Васильев Максим Николаевич,,
,№7,13,Ильин Владимир Андреевич,,
,№7,13,Соха Алексей Александрович,,
,№7,13,Тимофеев Роман Михайлович,,
,№7,14,Малков Александр Владимирович,,
,№7,14,Тищенко Алексей Геннадьевич,,
,№7,14,Федоров Юрий Георгиевич,,
,№7,14,Прокопенко Павел Петрович,,
,№7,14,Вавилина Нэлли Юрьевна,,
,№72,212,Капустин Денис Львович,СР,
,№72,212,Михайлов Николай Владимирович,СР,
,№72,212,Волкова Людмила Ивановна,,
,№72,213,Чумаков Даниил Игоревич,ГП,
,№72,213,Орлов Владислав Константинович,ГП,
Калининский,№72,213,Малышева Юлия Сергеевна,ГП,
Калининский,№72,213,Варламова Ирина Михайловна,СР,
Калининский,№72,213,Евдокимов Олег Николаевич,???,нет в списке
Калининский,№72,214,Бобкина Наталья Николаевна,ГП,
,№72,214,Волохонский Владимир Львович,ГП,
,№72,214,Кузин Сергей Владимирович,ГП,
Кировский,№72,214,Харитонов Дмитрий Валерьевич,СР,
,№72,214,Устинович Антон Вячеславович,СР,
,№72,215,Орлов Аркадий Николаевич,ГП,
,№72,215,Федоренко Иван Николаевич,ГП,
,№72,215,Иванов Вячеслав Михайлович,СР,
,№72,215,Ивановская Маргарита Николаевна,Я,
,№72,215,Косарев Владимир Валентинович,Я,
,№75,224,Кузнецова Маритана Валентиновна,,
,№75,224,Морозов Павел Сергеевич,,
,№75,224,Соболев Сергей Юрьевич,,
,№75,224,Березин Алексей Осипович,,
,№75,224,Папевский Петр Владимирович,,
Кировский,№75,225,Смирнов Вадим Валерьевич,,
,№75,225,Антипов Олег Ростиславович,,
,№75,225,Перевозников Евгений Ильич,,
,№75,225,Белов Максим Петрович,,
,№75,225,Швец Павел Евгеньевич,,
Кировский,№78,232,Коротенко Станислав Игоревич,,
,№78,232,Христенко Сергей Витальевич,,
,№78,232,Малолеткин Валерий Анатольевич,,
,№78,232,Степовенко Елизавета Михайловна,Я,
,№78,232,Циркунов Андрей Павлович,Я,
,№78,233,Дембовский Игорь Николаевич,,
,№78,233,Медведовская Татьяна Павловна,,
,№78,233,Тепляков Анатолий Александрович,,
,Адмиралтейский,5,Антипов Евгений Геннадьевич,,
,Адмиралтейский,5,Бисерова Мария Владимировна,,
,Адмиралтейский,5,Золотинкин Сергей Олегович,,
,Адмиралтейский,5,Крылов Николай Вячеславович,,
,Адмиралтейский,5,Розов Николай Валерьевич,,
,Адмиралтейский,6,Летюхин Иван Дмитриевич,Я,
,Адмиралтейский,6,Циркунов Андрей Павлович,Я,
,Адмиралтейский,6,Глотова Марина Владимировна,,
,Адмиралтейский,6,Ем Валерий Николаевич,,
,Адмиралтейский,6,Лазорко Юрий Лавринович,,
,Академическое,49,Нилова Людмила Петровна,,
,Академическое,49,Журавлева Татьяна Анатольевна,,
,Академическое,50,Свечина Татьяна Евгеньевна,,
,Академическое,51,Данилов Егор Олегович,Я,
,Академическое,51,Макаров Александр Борисович,Я,
,Александровская,1,Савкин Роман Александрович,,
,Александровская,1,Солодов Павел Александрович,,
,Александровская,1,Нелидова Анастасия Андреевна,,
,Александровская,1,Плотников Олег Владимирович,,
,Александровская,1,Круглышев Алексей Владимирович,,
,Александровская,1,Дядичкин Нестер Трофимович,,
,Александровская,1,Татаркин Магеллан Федорович,,
,Аптекарский остров,184,Скупченко Владимир Викторович,,
,Аптекарский остров,184,Стасюков Михаил Николаевич,,
,Аптекарский остров,185,Тейкин Михаил Спартакович,,
,Аптекарский остров,185,Лещенко Сергей Станиславович,,
,Аптекарский остров,185,Семенов Даниэль Вадимович,,
,Аптекарский остров,185,Казаков Вячеслав Николаевич,,
,Балканский,226,Коновалов Дмитрий Сергеевич,,
,Балканский,226,Омелин Анатолий Павлович,,
,Балканский,226,Голубев Алексей Сергеевич,,
,Балканский,226,Конищев Дмитрий Леонидович,,
,Балканский,227,Маслова Анастасия Евгеньевна,,
,Балканский,227,Свентик Дмитрий Петрович,???,Отказ в регистрации
Колпинский,Балканский,227,Басковцев Станислав Альфредович,,
,Балканский,227,Красина Ирина Валерьевна,,
,Балканский,228,Белякова Кира Анатольевна,,
,Балканский,228,Петрунин Анатолий Сергеевич,,
,Балканский,228,Ивченко Борис Павлович,,
,Балканский,228,Сергеев Станислав Олегович,,
,Балканский,229,Вышегородцев Борис Валерьевич,,
,Балканский,229,Цивелев Андрей Евгеньевич,,
,Балканский,229,Якунин Роман Евгеньевич,,
,Балканский,229,Доценко Евгений Валентинович,,
,Балканский,229,Артемьев Сергей Васильевич,,
,Белоостров,1,Барышев Алексей Александрович,ср,
,Белоостров,1,Боярченко Николай Владимирович,ср,
,Белоостров,1,Дегтярёв Вадим Анатольевич,ср,
,Белоостров,1,Поляков Павел Иванович,ср,
,Белоостров,1,Слаутина Дарина Анатольевна,ср,
,Белоостров,1,Соколов Александр Сергеевич,ср,
,Белоостров,1,Уточкин Александр Александрович,ср,
,Белоостров,1,Гринина Юлия Кирилловна,,
,Белоостров,1,Курылев Николай Леонидович,,
,Белоостров,1,Сумкин Евгений Викторович,,
,Большая Охта,1,Андреянов Максим Геннадьевич,,
,Большая Охта,2,Жернов Алексей Викторович,,
,Большая Охта,3,Белькевич Лидия Юрьевна,,
,Большая Охта,4,Мироненко Татьяна Игоревна,,
Красногвардейский,Большая Охта,5,Рухлин Константин Владимирович,,
,Большая Охта,6,Семенов Алексей Юрьевич,,
,Большая Охта,7,Титов Максим Евгеньевич,,
Красногвардейский,Большая Охта,8,Вялов Андрей Владимирович,,
,Большая Охта,9,Петрецкая Мария Михайловна,,
,Большая Охта,10,Савельева Яна Владимировна,СР,
,Васильевский,15,Алексюк Дмитрий Сергеевич,,
,Васильевский,15,Вавилина Нэлли Юрьевна,,
Красносельский,Васильевский,15,Вишнев Аркадий Германович,,
,Васильевский,15,Денисов Всеволод Владимирович,,
,Васильевский,15,Сартаков Руслан Сергеевич,,
Красносельский,Васильевский,16,Касаткин Алексей Викторович,ГП,
Красносельский,Васильевский,16,Быстров Денис Витальевич,ГП,
Красносельский,Васильевский,16,Шевченко Василий Георгиевич,ГП,
,Васильевский,16,Кокарев Владимир Николаевич,СР,
Красносельский,Васильевский,16,Назаров Валентин Андреевич,СР,
,Введенский,178,Поскребышев Владимир Эрикович,,
,Введенский,178,Герасимова Елена Александровна,,
,Введенский,178,Даллакян Арпине Артуровна,,
,Введенский,178,Волкова Екатерина Владимировна,,
,Введенский,178,Соломина Валентина Валентиновна,Я,
,Введенский,179,Гайдай Ольга Ивановна,Я,
,Введенский,179,Калинин Игорь Вадимович,,
,Введенский,179,Кутузов Владислав Сергеевич,,
,Введенский,179,Орлов Алексей Сергеевич,,
,Введенский,179,Рашидова Лейла Мамедовна,,
,Владимирский,244,Афанасьева Юлия Андреевна,,
Курортный,Владимирский,244,Бровкин Виталий Владимирович,,
,Владимирский,244,Цымбалова Ольга Александровна,,
Московский,Владимирский,244,Смирнов Дмитрий Валерьевич,,
,Владимирский,245,Корниченко Александр Александрович,,
Московский,Владимирский,245,Христенко Сергей Витальевич,,
,Владимирский,245,Карпов Александр Александрович,,
,Владимирский,245,Малышев Руслан Васильевич,,
,Владимирский,245,Ласкателева Ирина Михайловна,Я,
,Владимирский,246,Песецкая Дарья Игоревна,,
,Владимирский,246,Смирнов Сергей Александрович,,
,Владимирский,246,Белокурова Елена Васильевна,Я,
,Владимирский,246,Трубкина Татьяна Михайловна,Я,
,Владимирский,246,Семичев Андрей Валерьевич,,
,Владимирский,247,Ермин Дмитрий Алексеевич,,
,Владимирский,247,Коротенко Станислав Игоревич,,
,Владимирский,247,Нестеров Евгений Юрьевич,,
,Волковское,208,Бабушкин Сергей Яковлевич,,
,Волковское,208,Ермаков Сергей Алексеевич,,
,Волковское,208,Мерзляков Артем Сергеевич,,
,Волковское,208,Епишина Анастасия Николаевна,,
,Волковское,208,Суздальцев Александр Геннадьевич,,
,Волковское,209,Васильева Ирина Владимировна,,
Родин Евгений Владимирович,Волковское,209,Родин Евгений Владимирович,,
,Волковское,209,Серов Денис Валерьевич,,
,Волковское,209,Ерошкина Елена Станиславовна,,
,Волковское,209,Суздальцев Юрий Александрович,,
,Волковское,210,Морозова Любовь Александровна,,
,Волковское,210,Иванов Вячеслав Михайлович,,
,Волковское,210,Мамаев Вадим Сергеевич,,
,Волковское,211,Легков Владимир Валерьевич,,
,Волковское,211,Цапарин Евгений Борисович,,
,Волковское,211,Каргин Дмитрий Сергеевич,,
,Гавань,17,Вавилина Нэлли Юрьевна,,
